Pulgadas,Galones
1,14.0
2,38.0
3,70.0
4,107.0
5,149.0
6,196.0
7,246.0
8,299.0
9,356.0
10,416.0
11,478.0
12,543.0
13,610.0
14,680.0
15,752.0
16,825.0
17,901.0
18,978.0
19,1057.0
20,1138.0
21,1220.0
22,1303.0
23,1388.0
24,1475.0
25,1562.0
26,1651.0
27,1741.0
28,1831.0
29,1923.0
30,2016.0
31,2110.0
32,2204.0
33,2299.0
34,2396.0
35,2492.0
36,2590.0
37,2688.0
38,2786.0
39,2885.0
40,2984.0
41,3084.0
42,3185.0
43,3285.0
44,3386.0
45,3487.0
46,3588.0
47,3690.0
48,3792.0
49,3893.0
50,3995.0
51,4097.0
52,4198.0
53,4300.0
54,4401.0
55,4503.0
56,4604.0
57,4705.0
58,4805.0
59,4906.0
60,5005.0
61,5105.0
62,5204.0
63,5302.0
64,5400.0
65,5498.0
66,5594.0
67,5691.0
68,5786.0
69,5880.0
70,5974.0
71,6067.0
72,6159.0
73,6249.0
74,6339.0
75,6428.0
76,6515.0
77,6602.0
78,6687.0
79,6770.0
80,6852.0
81,6933.0
82,7012.0
83,7089.0
84,7165.0
85,7238.0
86,7310.0
87,7380.0
88,7447.0
89,7512.0
90,7574.0
91,7634.0
92,7691.0
93,7744.0
94,7794.0
95,7841.0
96,7883.0
97,7920.0
98,7952.0
99,7976.0
100,7989.981315948067
