Pulgadas,Galones
1,14.0
2,39.0
3,71.0
4,109.0
5,153.0
6,200.0
7,251.0
8,306.0
9,364.0
10,425.0
11,488.0
12,555.0
13,623.0
14,694.0
15,768.0
16,843.0
17,920.0
18,999.0
19,1079.0
20,1162.0
21,1246.0
22,1331.0
23,1418.0
24,1506.0
25,1595.0
26,1686.0
27,1778.0
28,1870.0
29,1964.0
30,2059.0
31,2155.0
32,2251.0
33,2348.0
34,2446.0
35,2545.0
36,2645.0
37,2745.0
38,2845.0
39,2946.0
40,3048.0
41,3150.0
42,3252.0
43,3355.0
44,3458.0
45,3561.0
46,3665.0
47,3768.0
48,3872.0
49,3976.0
50,4080.0
51,4184.0
52,4288.0
53,4391.0
54,4495.0
55,4599.0
56,4702.0
57,4805.0
58,4908.0
59,5010.0
60,5112.0
61,5214.0
62,5315.0
63,5415.0
64,5515.0
65,5615.0
66,5714.0
67,5812.0
68,5909.0
69,6005.0
70,6101.0
71,6196.0
72,6290.0
73,6382.0
74,6474.0
75,6565.0
76,6654.0
77,6742.0
78,6829.0
79,6914.0
80,6998.0
81,7080.0
82,7161.0
83,7240.0
84,7317.0
85,7392.0
86,7466.0
87,7537.0
88,7605.0
89,7672.0
90,7735.0
91,7796.0
92,7854.0
93,7909.0
94,7960.0
95,8007.0
96,8050.0
97,8089.0
98,8121.0
99,8146.0
100,8159.980918415047
