Pulgadas,Galones
1,13.0
2,37.0
3,68.0
4,105.0
5,146.0
6,192.0
7,241.0
8,293.0
9,349.0
10,407.0
11,468.0
12,532.0
13,597.0
14,665.0
15,736.0
16,808.0
17,882.0
18,957.0
19,1035.0
20,1113.0
21,1194.0
22,1276.0
23,1359.0
24,1443.0
25,1529.0
26,1616.0
27,1703.0
28,1792.0
29,1882.0
30,1973.0
31,2065.0
32,2157.0
33,2251.0
34,2345.0
35,2439.0
36,2534.0
37,2630.0
38,2727.0
39,2824.0
40,2921.0
41,3019.0
42,3117.0
43,3215.0
44,3314.0
45,3413.0
46,3512.0
47,3611.0
48,3711.0
49,3810.0
50,3910.0
51,4010.0
52,4109.0
53,4209.0
54,4308.0
55,4407.0
56,4506.0
57,4605.0
58,4703.0
59,4801.0
60,4899.0
61,4996.0
62,5093.0
63,5190.0
64,5285.0
65,5381.0
66,5475.0
67,5569.0
68,5663.0
69,5755.0
70,5847.0
71,5938.0
72,6028.0
73,6116.0
74,6204.0
75,6291.0
76,6377.0
77,6461.0
78,6544.0
79,6626.0
80,6707.0
81,6785.0
82,6863.0
83,6938.0
84,7012.0
85,7084.0
86,7155.0
87,7223.0
88,7288.0
89,7352.0
90,7413.0
91,7471.0
92,7527.0
93,7579.0
94,7628.0
95,7674.0
96,7715.0
97,7752.0
98,7783.0
99,7807.0
100,7819.981713481087
